PROVINCIAS	Turismos.Gasolina	Turismos.Gas-oil	Turismos.Otros
Araba	65739	87069	99
Albacete	63725	119278	40
Alicante	467140	471954	451
Almeria	109162	227605	86
Avila	32227	53601	25
Badajoz	121167	232462	55
Baleares	434559	249707	448
Barcelona	1187551	1246911	2718
Burgos	75596	108591	88
Caceres	76094	132627	43
Cadiz	214529	331524	80
Castellon	125638	168238	108
Ciudad.Real	83567	152777	49
Cordoba	124821	232826	138
Coruña	201691	395168	156
Cuenca	33180	73286	26
Girona	201100	191520	248
Granada	167340	272461	76
Guadalajara	43385	86684	39
Gipuzkoa	125184	188735	178
Huelva	88921	148342	55
Huesca	43895	68456	48
Jaen	90795	185855	58
Leon	108937	142195	74
Lleida	85653	132730	105
Rioja	55816	84553	44
Lugo	56624	137533	48
Madrid	1394487	2040981	6894
Malaga	332193	447589	421
Murcia	246833	468546	209
Navarra	116688	194260	143
Ourense	66114	114261	44
Asturias	190711	311579	189
Palencia	32086	57177	41
Palmas 	431150	114982	568
Pontevedra	171975	340299	255
Salamanca	64886	103630	43
Tenerife	425343	96150	353
Cantabria	112329	182134	143
Segovia	32221	53578	19
Sevilla	327079	566898	410
Soria	18263	29301	13
Tarragona	178830	208707	198
Teruel	24919	45575	13
Toledo	106261	256390	180
Valencia	503394	701943	424
Valladolid	102547	153315	101
Bizkaia	202492	300965	960
Zamora	37615	59788	23
Zaragoza	175957	226074	354
Ceuta	20774	20362	18
Melilla	21370	21491	15
